;Модель;Год;Цена;Пробег;Дата;Рейтинг;Объем;Мощность;Коробка;Тип двигателя;Топливо;Привод;Разгон;Страна марки;Количество дверей;Количество мест;Длина;Ширина;Высота;Колёсная база;Объем багажника мин/макс, л;Снаряженная масса, кг;Коробка передач;Количество передач;Тип привода;Тип передней подвески;Тип задней подвески;Передние тормоза;Задние тормоза;Максимальная скорость, км/ч;Разгон до 100 км/ч, с;Марка топлива;Расположение двигателя;Объем двигателя, см³;Тип наддува;Максимальная мощность, л.с./кВт при об/мин;Максимальный крутящий момент, Н*м при об/мин;Расположение цилиндров;Количество цилиндров;Число клапанов на цилиндр;Система питания двигателя;Степень сжатия;Диаметр цилиндра и ход поршня, мм
0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1; Bentley Mulsanne II Рестайлинг  ; 2016 ; 19 990 000 ; Нов; 1 июня 2017;  ; 6.8 л; 512 л.с.; автомат; бензин; АИ-95; задний; 5.3 с; Великобритания; 4; 4, 5; 5575; 1926; 1521; 3266; 443; 2685; автомат; 8; задний; независимая, пневмоэлемент; независимая, пневмоэлемент; дисковые вентилируемые; дисковые вентилируемые; 296; 5.3; АИ-95; переднее, продольное; 6752; турбонаддув; 512 / 377 при 4000; 1020 при 1750; V-образное; 8; 2; распределенный впрыск (многоточечный); 7.8; 104.1 × 99.1
2; Bentley Continental GT II  ; 2015 ;7 200 278 ; 31 000 ; 16 декабря 2017; 3,8; 4.0 л; 507 л.с.; автомат; бензин; АИ-98; полный; 4.8 с; Великобритания; 2; 4; 4806; 1944; 1404; 2746; 358; 2295; автомат; 8; полный; независимая, пневмоэлемент; независимая, пневмоэлемент; дисковые вентилируемые; дисковые вентилируемые; 303; 4.8; АИ-98; переднее, продольное; 3993; турбонаддув; 507 / 373 при 6000; 660 при 1700; V-образное; 8; 4; непосредственный впрыск (прямой); 9.3; 84.5 × 89
3; Bentley Continental GT I  ; 2007 ;1 999 000 ; 50 000 ; 15 марта; 4,2; 6.0 л; 560 л.с.; автомат; бензин; АИ-98; полный; 4.8 с; Великобритания; 2; 4; 4804; 1965; 1390; 2745; 370; 2350; автомат; 6; полный; независимая, пневмоэлемент; независимая, пневмоэлемент; дисковые вентилируемые; дисковые вентилируемые; 318; 4.8; АИ-98; переднее, продольное; 5998; турбонаддув; 560 / 412 при 6100; 650 при 1600 – 6100; W-образное; 12; 4; распределенный впрыск (многоточечный); 9; 84 × 90.2
4; Bentley Continental Flying Spur  ; 2006 ; 1 640 000 ; 116 000 ; 14 сентября 2017;  ; 6.0 л; 560 л.с.; автомат; бензин; АИ-98; полный; 5.2 с; Великобритания; 4; 4, 5; 5290; 1976; 1475; 3065; 475; 2475; автомат; 6; полный; независимая, пневмоэлемент; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 312; 5.2; АИ-98;; 5998; турбонаддув; 560 / 412 при 6100; 650 при 1650; W-образное; 12; 4; распределенный впрыск (многоточечный); 9.5; 84 × 90.2
5; Bentley Continental GT I  ; 2007 ; 2 300 000 ; 84 000 ; 9 декабря 2017; 4,2; 6.0 л; 560 л.с.; автомат; бензин; АИ-98; полный; 4.8 с; Великобритания; 2; 4; 4804; 1965; 1390; 2745; 370; 2350; автомат; 6; полный; независимая, пневмоэлемент; независимая, пневмоэлемент; дисковые вентилируемые; дисковые вентилируемые; 318; 4.8; АИ-98; переднее, продольное; 5998; турбонаддув; 560 / 412 при 6100; 650 при 1600 – 6100; W-образное; 12; 4; распределенный впрыск (многоточечный); 9; 84 × 90.2
6; Bentley Continental GT I  ; 2006 ; 1 970 000 ; 90 260 ; 22 апреля; 4,2; 6.0 л; 560 л.с.; автомат; бензин; АИ-98; полный; 4.8 с; Великобритания; 2; 4; 4804; 1965; 1390; 2745; 370; 2350; автомат; 6; полный; независимая, пневмоэлемент; независимая, пневмоэлемент; дисковые вентилируемые; дисковые вентилируемые; 318; 4.8; АИ-98; переднее, продольное; 5998; турбонаддув; 560 / 412 при 6100; 650 при 1600 – 6100; W-образное; 12; 4; распределенный впрыск (многоточечный); 9; 84 × 90.2
7; Bentley Continental GT II Speed  ; 2012 ; 6 250 000 ; 9 000 ; 21 апреля; 3,8; 6.0 л; 625 л.с.; автомат; бензин; АИ-98; полный; 4.2 с; Великобритания; 2; 4; 4806; 1944; 1404; 2746; 358; 2320; автомат; 8; полный; независимая, пневмоэлемент; независимая, пневмоэлемент; дисковые вентилируемые; дисковые вентилируемые; 330; 4.2; АИ-98; переднее, продольное; 5998; турбонаддув; 625 / 460 при 6000; 800 при 2000; W-образное; 12; 4; непосредственный впрыск (прямой); 9; 84 × 90.2
8; Bentley Continental GT II  ; 2013 ; 5 700 000 ; 46 000 ; 23 апреля; 3,8; 6.0 л; 575 л.с.; автомат; бензин; АИ-98; полный; 4.5 с; Великобритания; 2; 4; 4806; 1944; 1404; 2746; 358; 2320; автомат; 8; полный; независимая, пневмоэлемент; независимая, пневмоэлемент; дисковые вентилируемые; дисковые вентилируемые; 316; 4.5; АИ-98; переднее, продольное; 5998; турбонаддув; 575 / 423 при 6000; 700 при 1700; W-образное; 12; 4; непосредственный впрыск (прямой); 9; 84 × 90.2
9; Bentley Continental GT II  ; 2014 ; 7 350 000 ; 11 400 ; 16 апреля; 3,8; 4.0 л; 507 л.с.; автомат; бензин; АИ-98; полный; 4.8 с; Великобритания; 2; 4; 4806; 1944; 1404; 2746; 358; 2295; автомат; 8; полный; независимая, пневмоэлемент; независимая, пневмоэлемент; дисковые вентилируемые; дисковые вентилируемые; 303; 4.8; АИ-98; переднее, продольное; 3993; турбонаддув; 507 / 373 при 6000; 660 при 1700; V-образное; 8; 4; непосредственный впрыск (прямой); 9.3; 84.5 × 89
10; Bentley Continental GT II  ; 2012 ; 5 555 000 ; 14 800 ; 16 апреля; 3,8; 4.0 л; 507 л.с.; автомат; бензин; АИ-98; полный; 4.8 с; Великобритания; 2; 4; 4806; 1944; 1404; 2746; 358; 2295; автомат; 8; полный; независимая, пневмоэлемент; независимая, пневмоэлемент; дисковые вентилируемые; дисковые вентилируемые; 303; 4.8; АИ-98; переднее, продольное; 3993; турбонаддув; 507 / 373 при 6000; 660 при 1700; V-образное; 8; 4; непосредственный впрыск (прямой); 9.3; 84.5 × 89
11; Bentley Continental GT II  ; 2013 ; 5 050 000 ; 11 083 ; 15 апреля; 3,8; 4.0 л; 507 л.с.; автомат; бензин; АИ-98; полный; 4.8 с; Великобритания; 2; 4; 4806; 1944; 1404; 2746; 358; 2295; автомат; 8; полный; независимая, пневмоэлемент; независимая, пневмоэлемент; дисковые вентилируемые; дисковые вентилируемые; 303; 4.8; АИ-98; переднее, продольное; 3993; турбонаддув; 507 / 373 при 6000; 660 при 1700; V-образное; 8; 4; непосредственный впрыск (прямой); 9.3; 84.5 × 89
12; Bentley Continental GT I  ; 2005 ; 2 080 000 ; 58 000 ; 14 апреля; 4,2; 6.0 л; 560 л.с.; автомат; бензин; АИ-98; полный; 4.8 с; Великобритания; 2; 4; 4804; 1965; 1390; 2745; 370; 2350; автомат; 6; полный; независимая, пневмоэлемент; независимая, пневмоэлемент; дисковые вентилируемые; дисковые вентилируемые; 318; 4.8; АИ-98; переднее, продольное; 5998; турбонаддув; 560 / 412 при 6100; 650 при 1600 – 6100; W-образное; 12; 4; распределенный впрыск (многоточечный); 9; 84 × 90.2
13; Bentley Continental GT II  ; 2012 ; 4 700 000 ; 43 250 ; 20 апреля; 3,8; 6.0 л; 575 л.с.; автомат; бензин; АИ-98; полный; 4.5 с; Великобритания; 2; 4; 4806; 1944; 1404; 2746; 358; 2320; автомат; 8; полный; независимая, пневмоэлемент; независимая, пневмоэлемент; дисковые вентилируемые; дисковые вентилируемые; 316; 4.5; АИ-98; переднее, продольное; 5998; турбонаддув; 575 / 423 при 6000; 700 при 1700; W-образное; 12; 4; непосредственный впрыск (прямой); 9; 84 × 90.2
14; Bentley Continental Flying Spur  ; 2009 ; 2 100 000 ; 40 000 ; 21 апреля;  ; 6.0 л; 560 л.с.; автомат; бензин; АИ-98; полный; 5.2 с; Великобритания; 4; 4, 5; 5290; 1976; 1475; 3065; 475; 2475; автомат; 6; полный; независимая, пневмоэлемент; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 312; 5.2; АИ-98;; 5998; турбонаддув; 560 / 412 при 6100; 650 при 1650; W-образное; 12; 4; распределенный впрыск (многоточечный); 9.5; 84 × 90.2
15; Bentley Continental GT II  ; 2012 ; 6 990 000 ; 26 300 ; 20 апреля; 3,8; 6.0 л; 575 л.с.; автомат; бензин; АИ-98; полный; 4.5 с; Великобритания; 2; 4; 4806; 1944; 1404; 2746; 358; 2320; автомат; 8; полный; независимая, пневмоэлемент; независимая, пневмоэлемент; дисковые вентилируемые; дисковые вентилируемые; 316; 4.5; АИ-98; переднее, продольное; 5998; турбонаддув; 575 / 423 при 6000; 700 при 1700; W-образное; 12; 4; непосредственный впрыск (прямой); 9; 84 × 90.2
16; Bentley Bentayga I  ; 2018 ; 17 640 000 ; Нов; 22 апреля;  ; 4.0 л; 550 л.с.; автомат; бензин; АИ-95; полный; 4.5 с; Великобритания; 5; 4, 7; 5141; 1998; 1742; 2992; 430; 2388; автомат; 8; полный; независимая, пневмоэлемент; независимая, пневмоэлемент; дисковые вентилируемые; дисковые вентилируемые; 290; 4.5; АИ-95; переднее, продольное; 3996; турбонаддув; 550 / 404 при 6000; 770 при 1960 – 4500; V-образное; 8; 4; непосредственный впрыск (прямой); 10.1; 86 × 86
17; Bentley Bentayga I  ; 2018 ; 15 420 000 ; Нов; 22 апреля;  ; 4.0 л; 550 л.с.; автомат; бензин; АИ-95; полный; 4.5 с; Великобритания; 5; 4, 7; 5141; 1998; 1742; 2992; 430; 2388; автомат; 8; полный; независимая, пневмоэлемент; независимая, пневмоэлемент; дисковые вентилируемые; дисковые вентилируемые; 290; 4.5; АИ-95; переднее, продольное; 3996; турбонаддув; 550 / 404 при 6000; 770 при 1960 – 4500; V-образное; 8; 4; непосредственный впрыск (прямой); 10.1; 86 × 86
18; Bentley Continental GT I Supersports  ; 2010 ; 5 400 000 ; 34 000 ; 19 апреля; 4,2; 6.0 л; 630 л.с.; автомат; бензин; АИ-98; полный; 3.9 с; Великобритания; 2; 4; 4804; 1965; 1390; 2745; 370; 2240; автомат; 6; полный; независимая, пневмоэлемент; независимая, пневмоэлемент; дисковые вентилируемые; дисковые вентилируемые; 329; 3.9; АИ-98; переднее, продольное; 5998; турбонаддув; 630 / 463 при 6000; 800 при 2000 – 4500; W-образное; 12; 4; распределенный впрыск (многоточечный); 9; 84 × 90.2
19; Bentley Flying Spur  ; 2013 ; 7 500 000 ; 22 500 ; 12 апреля;  ; 6.0 л; 625 л.с.; автомат; бензин; АИ-98; полный; 4.6 с; Великобритания; 4; 4, 5; 5295; 1976; 1488; 3065; 442; 2475; автомат; 8; полный; независимая, пневмоэлемент; независимая, пневмоэлемент; дисковые вентилируемые; дисковые вентилируемые; 320; 4.6; АИ-98; переднее, продольное; 5998; турбонаддув; 625 / 460 при 6000; 800 при 2000; W-образное; 12; 4; непосредственный впрыск (прямой); 9; 84 × 90.2
20; Bentley Continental GT II S  ; 2015 ; 9 900 000 ; Нов; 20 апреля; 3,8; 4.0 л; 528 л.с.; автомат; бензин; АИ-98; полный; 4.5 с; Великобритания; 2; 4; 4806; 1944; 1404; 2746; 358; 2295; автомат; 8; полный; независимая, пневмоэлемент; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 309; 4.5; АИ-98;; 3993; турбонаддув; 528 / 388 при 6000; 680 при 1700; V-образное; 8; 4; распределенный впрыск (многоточечный);; 
21; Bentley Continental Flying Spur  ; 2007 ; 1 630 000 ; 118 000 ; 8 апреля;  ; 6.0 л; 560 л.с.; автомат; бензин; АИ-98; полный; 5.2 с; Великобритания; 4; 4, 5; 5290; 1976; 1475; 3065; 475; 2475; автомат; 6; полный; независимая, пневмоэлемент; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 312; 5.2; АИ-98;; 5998; турбонаддув; 560 / 412 при 6100; 650 при 1650; W-образное; 12; 4; распределенный впрыск (многоточечный); 9.5; 84 × 90.2
22; Bentley Continental GT II  ; 2011 ; 3 990 000 ; 83 000 ; 23 апреля; 3,8; 6.0 л; 560 л.с.; автомат; бензин; АИ-98; полный; 4.8 с; Великобритания; 2; 4; 4806; 1944; 1404; 2746; 358; 2350; автомат; 6; полный; независимая, пневмоэлемент; независимая, пневмоэлемент; дисковые вентилируемые; дисковые вентилируемые; 318; 4.8; АИ-98; переднее, продольное; 5998; турбонаддув; 560 / 412 при 6100; 650 при 1600 – 6100; W-образное; 12; 4; распределенный впрыск (многоточечный); 9; 84 × 90.2
23; Bentley Continental GT II  ; 2015 ; 9 250 000 ; 960 ; 16 апреля; 3,8; 4.0 л; 507 л.с.; автомат; бензин; АИ-98; полный; 4.8 с; Великобритания; 2; 4; 4806; 1944; 1404; 2746; 358; 2295; автомат; 8; полный; независимая, пневмоэлемент; независимая, пневмоэлемент; дисковые вентилируемые; дисковые вентилируемые; 303; 4.8; АИ-98; переднее, продольное; 3993; турбонаддув; 507 / 373 при 6000; 660 при 1700; V-образное; 8; 4; непосредственный впрыск (прямой); 9.3; 84.5 × 89
